year,km_driven,fuel,owner,mileage(km/ltr/kg),seats,selling_price
2014,145500,Diesel,first,23.4,5,450000
2014,120000,Diesel,second,21.14,5,370000
2006,140000,Petrol,third,17.7,5,158000
2010,127000,Diesel,first,23,5,225000
2007,120000,Petrol,first,16.1,5,130000
2017,45000,Petrol,first,20.14,5,440000
2007,175000,LPG,first,17.3,5,96000
2001,5000,Petrol,second,16.1,4,45000
2011,90000,Diesel,first,23.59,5,350000
2013,169000,Diesel,first,20,5,200000
2014,68000,Diesel,second,19.01,5,500000
2005,100000,Petrol,second,17.3,5,92000
2009,140000,Diesel,second,19.3,5,280000
2007,80000,Petrol,second,,,200000
2009,90000,Petrol,second,18.9,5,180000
2016,40000,Petrol,first,18.15,5,400000
2016,70000,Diesel,second,24.52,7,778000
2012,53000,Diesel,second,23,5,500000
2002,80000,Petrol,second,19.7,5,150000
2016,100000,Diesel,first,22.54,5,680000
2011,100000,Diesel,second,21,5,174000
2017,50000,Diesel,first,25.5,5,950000
2015,40000,Diesel,first,26.59,5,525000
2012,72000,Diesel,first,21.5,5,600000
2018,35000,Petrol,first,20.3,5,500000
2016,45000,Petrol,first,21.4,5,575000
2017,28000,Petrol,first,24.7,5,275000
2013,70000,Diesel,first,18.2,7,300000
2009,120000,Petrol,first,18.9,5,220000
2018,25000,Petrol,first,16.8,8,254999
2017,70000,Diesel,first,24.3,5,670000
2003,50000,Petrol,second,,,70000
2012,35000,Petrol,second,14,5,150000
2018,2388,Petrol,first,18.6,5,730000
2017,16200,Diesel,first,24.3,5,650000
2019,10000,CNG,second,33.44,4,330000
2019,15000,Petrol,first,23.95,5,366000
2019,5000,Petrol,first,17,5,1149000
2016,42000,Petrol,first,20.63,5,150000
2011,60000,Diesel,second,13.93,7,425000
2012,76000,Petrol,first,16.1,4,150000
2019,5000,Petrol,first,16,5,2100000
2018,28900,Petrol,first,17.8,5,925000
2013,86300,Petrol,first,16.8,5,425000
2018,23300,Petrol,first,18.5,5,675000
2018,32600,Diesel,first,24.3,5,819999
2018,10300,Petrol,first,23.95,5,390000
2014,77000,Diesel,first,12.55,7,1500000
2013,99000,Diesel,first,12.99,7,700000
2014,27800,Diesel,second,14.8,5,1450000
2015,49800,Diesel,first,24.7,5,425000
2013,151000,Diesel,first,13.5,7,1090000
2015,54700,Diesel,first,26,5,600000
2018,64000,Petrol,first,20.65,5,850000
2015,63000,Diesel,first,27.3,5,525000
2016,127700,Diesel,second,11.36,7,1650000
2016,99000,Diesel,first,12.99,7,950000
2013,33900,Diesel,second,17.68,5,1750000
2018,25000,Petrol,first,14.28,5,1590000
2013,50000,Diesel,first,18.53,5,1689999
2013,59000,Diesel,first,14.84,5,1425000
2011,120000,Diesel,first,21.12,5,265000
2011,110000,Petrol,third,20.36,5,190000
2013,60000,Diesel,first,21.27,5,425000
2015,147000,Diesel,second,26.59,5,630000
2017,25000,Petrol,third,18.16,5,600000
2019,30000,Petrol,first,21.4,5,650000
2016,40000,Diesel,first,22,5,540000
2015,135000,Diesel,first,25.1,5,630000
2018,30000,Petrol,first,20.51,5,448000
2017,80000,Diesel,first,21.66,5,500000
2016,70000,Diesel,first,24.3,5,745000
2019,9850,Diesel,first,24.3,5,1025000
2011,60000,Petrol,second,20.36,5,235000
2016,70000,Diesel,first,25.2,5,630000
2015,78000,Diesel,second,12.55,7,1700000
2013,120000,Diesel,second,22.9,5,450000
2012,120000,Petrol,second,16.02,7,450000
2003,70000,Diesel,first,,,50000
2013,170000,Diesel,first,20.54,5,450000
2016,140000,Diesel,first,12.99,8,1200000
2015,90000,Diesel,first,22.77,5,610000
2016,30000,Petrol,second,15.71,5,2500000
2017,10000,Petrol,first,23.1,5,484999
2016,49000,Petrol,first,19.02,5,275000
2016,32000,Petrol,first,24.7,5,315000
2016,38000,Petrol,first,24.7,5,275000
2015,78000,Diesel,first,,,475000
2012,28000,Petrol,first,19.81,5,290000
2017,32000,Petrol,first,14,5,280000
2010,44000,LPG,first,26.2,5,225000
2015,42000,Petrol,first,16.47,5,455000
2015,45000,Petrol,second,19.81,5,351000
2012,12000,Petrol,second,15.04,5,535000
2009,55500,Petrol,first,18.2,5,175000
2013,61500,Petrol,first,18.5,5,525000
2016,150000,Diesel,first,26.59,5,600000
2016,72000,Petrol,first,19.1,5,565000
2008,68000,Petrol,third,19.7,5,120000
2017,110000,Diesel,first,22.54,5,725000
2009,77000,Petrol,second,21.79,5,185000
2010,100000,Diesel,second,18.8,5,200000
2019,10000,Petrol,first,21.21,5,615000
2016,100000,Petrol,third,15.37,7,270000
2018,35000,Petrol,first,21.4,5,610000
2014,70000,Diesel,second,11.79,8,625000
2020,5000,Petrol,second,19,5,400000
2017,37800,Petrol,first,17,5,866000
2010,114000,Petrol,first,14.3,5,700000
2010,48000,Petrol,first,15.8,5,300000
2019,32000,Diesel,first,15.1,7,1700000
2016,100000,Diesel,first,19.09,5,375000
2013,150000,Diesel,second,22.32,5,522000
2013,69000,Diesel,first,21.9,5,451999
2009,100000,Petrol,second,14.53,5,300000
2020,13000,Petrol,first,21.63,5,475000
2016,60000,Diesel,first,24.3,5,780000
2017,40000,Petrol,first,20.85,5,595000
2017,35000,Petrol,first,20.51,5,440000
2010,120000,Diesel,second,,,300000
2014,70000,Diesel,third,20.45,5,400000
2016,50000,Diesel,first,19.67,5,1140000
2017,76139,Diesel,first,23,5,850000
2012,175000,Diesel,fourth,19.3,5,370000
2018,25000,Petrol,first,23.01,5,350000
2015,40000,Petrol,second,23.1,5,360000
2013,90000,Diesel,second,20.77,7,625000
2009,80000,Petrol,second,17.92,5,135000
2015,110000,Diesel,second,20.77,7,700000
2019,1303,Petrol,first,17.8,5,690000
2018,31800,Diesel,first,17.01,5,3975000
2019,20000,Petrol,first,22.37,5,5150000
2017,45000,Diesel,first,19.33,5,3200000
2017,17000,Petrol,first,9.5,5,4100000
2019,21000,Diesel,first,12.83,7,4500000
2017,37000,Diesel,first,13.5,5,6000000
2018,29500,Diesel,first,22.48,5,3790000
2017,27000,Diesel,first,,,2150000
2019,7500,Diesel,first,16.78,5,5800000
2018,50000,Petrol,first,14.67,5,1864999
2016,35000,Diesel,first,15,5,2700000
2019,19000,Petrol,first,13.96,5,1750000
2017,41000,Petrol,first,18,5,795000
2013,39000,Petrol,first,14.28,5,625000
2018,22000,Diesel,first,18,5,3400000
2015,53000,Diesel,first,12.07,7,2650000
2015,40000,Diesel,first,26.21,5,535000
2017,47000,Diesel,first,13.5,5,5850000
2010,72200,Petrol,second,10.8,5,975000
2016,49900,Petrol,first,16.3,5,805000
2017,9000,Diesel,first,13.6,5,2625000
2018,11000,Petrol,first,17,5,811000
2011,49000,Petrol,first,15.04,5,375000
2012,95000,Petrol,first,16.3,5,550000
2016,11000,Petrol,first,14.3,5,645000
2018,18000,Petrol,first,15.04,5,2550000
2014,46100,Petrol,first,16.02,7,599000
2017,16000,Petrol,first,14.74,5,2700000
2017,18000,Petrol,first,15.6,5,875000
2019,9654,Petrol,first,19.56,5,894999
2011,11000,Petrol,first,23.95,5,175000
2012,24300,Petrol,first,21.21,5,340000
2016,42163,Diesel,second,11.36,7,1525000
2018,8000,Diesel,first,21.5,5,1025000
2016,30000,Diesel,first,22.69,5,2150000
2016,41000,Petrol,first,19.16,5,1900000
2016,12000,Diesel,first,18.12,5,2900000
2009,71000,Petrol,first,12.1,5,450000
2016,20000,Petrol,first,17.5,7,850000
2017,30000,Petrol,first,42,4,10000000
2011,100000,Diesel,second,20.54,5,300000
2018,9500,Petrol,first,18.16,5,575000
2011,120000,Diesel,first,20,5,160000
2015,36600,Petrol,first,20.4,5,515000
2015,50000,Petrol,second,20.51,5,390000
2016,14000,Petrol,second,18.6,5,550000
1999,40000,Petrol,second,16.1,4,40000
2010,120000,Diesel,first,21.1,5,220000
2015,70000,Petrol,first,18.9,5,425000
2019,13000,Petrol,first,19.44,5,480000
2014,60000,Petrol,second,18.9,5,400000
2014,35000,Petrol,first,19.1,5,487000
2016,44000,Petrol,second,19.1,5,386000
2005,120000,Petrol,second,13,5,100000
2010,60000,Diesel,first,21.43,5,300000
2000,60000,Petrol,first,18.5,5,100000
2014,30000,Diesel,second,13,7,1750000
2016,15000,Petrol,second,18.15,6,450000
2017,90000,Diesel,first,22.95,5,490000
2009,47000,Petrol,second,17,5,345000
2005,90000,Petrol,first,17.3,5,85000
2010,120600,Petrol,second,18.9,5,215000
2010,100000,Petrol,third,16.2,5,320000
2016,60000,Petrol,second,20.85,5,459999
2005,86000,Petrol,first,15.3,5,65000
2020,5000,Petrol,first,18.6,5,720000
2017,37000,Diesel,first,28.09,5,800000
2019,14000,Petrol,first,20.3,5,520000
2015,70000,Diesel,first,20.77,7,580000
2012,120000,Diesel,first,,,235000
2015,50000,Petrol,first,17.4,5,600000
2014,60000,Petrol,second,19.4,5,290000
2016,50000,CNG,first,26.6,5,360000
2017,50000,Petrol,first,20.85,5,550000
2013,70000,Petrol,first,18.5,5,375000
2003,90000,Petrol,second,,,40000
2018,35000,Petrol,first,20.51,5,420000
2017,20000,Petrol,first,21.21,5,550000
2018,20000,Petrol,first,24.7,5,270000
2018,7800,Petrol,first,22,5,700000
2017,20000,Petrol,first,20.4,5,500000
2019,15000,Diesel,first,17.6,7,1250000
2013,31377,Petrol,second,18.5,5,320000
2018,50000,Diesel,first,28.4,5,700000
2015,60000,Petrol,first,20.51,5,290000
2012,100000,Petrol,first,14.53,5,550000
2012,60000,Petrol,first,19.4,5,265000
2018,5000,Petrol,first,21.4,5,830000
2017,60000,Diesel,first,14.1,7,800000
2011,25000,Petrol,second,19.7,5,160000
2018,30000,Petrol,first,25.17,5,335000
2017,80000,Petrol,second,20.63,5,329000
2017,75000,Diesel,first,24.3,5,775000
2020,32000,Petrol,first,20.14,5,524000
2015,40000,Petrol,first,22.74,5,245000
2012,93000,Petrol,second,17,5,275000
2018,60000,Petrol,first,17.57,5,520000
2008,120000,Petrol,second,,,130000
2014,37000,Petrol,first,16.95,5,550000
2018,15000,Petrol,first,17,5,910000
2015,80000,Petrol,first,19.49,5,300000
2016,140000,Petrol,first,20.51,5,350000
2013,70000,Diesel,first,12.83,7,900000
2013,120000,Diesel,second,17.21,7,300000
2010,110000,Diesel,second,21.1,5,250000
2017,37000,Diesel,first,19.67,5,1100000
2016,44000,Petrol,first,25.17,5,270000
2015,80000,Diesel,first,20.77,7,640000
2015,125000,Diesel,first,15.1,7,650000
2017,13500,Petrol,first,15.37,5,409999
2011,75000,Petrol,first,17.92,5,165000
2007,120000,Petrol,second,13.2,5,80000
2012,120000,Diesel,first,15.1,7,535000
2013,70000,Diesel,first,12.99,7,700000
2013,70000,Diesel,first,23.4,5,550000
2019,15000,Petrol,first,19,5,680000
2009,53000,Petrol,second,20.36,5,200000
2014,120000,Diesel,second,23.4,5,500000
2016,70000,Diesel,first,24.52,7,1000000
2008,120000,Petrol,second,14.2,5,110000
2012,100000,Petrol,second,18.5,5,320000
2005,110000,Diesel,second,,,75000
2015,100000,Petrol,first,20.4,5,350000
2013,162500,Diesel,first,19.4,5,170000
2017,39000,Diesel,first,22.54,5,800000
2017,75000,Diesel,first,26.8,5,500000
2017,50000,Diesel,first,17.6,7,1380000
2019,40000,Diesel,first,17.3,8,1300000
2013,92500,Diesel,first,22.32,5,530000
2012,158000,Diesel,first,23.4,5,360000
2012,120000,Diesel,first,19.3,5,310000
2015,50000,Diesel,second,26,5,725000
2012,110000,Diesel,first,19.3,5,340000
2017,2000,Diesel,second,25.4,5,550000
2011,181000,Diesel,second,11.5,7,1150000
2016,70000,Diesel,first,27.28,5,380000
2013,90000,Petrol,second,17.97,5,350000
2019,2000,Petrol,first,18.6,5,610000
2015,20000,Petrol,first,20.85,5,525000
2011,120000,Diesel,first,12.8,7,480000
2017,35000,Diesel,first,16.55,6,780000
2012,193000,Diesel,first,19.3,5,320000
2014,80000,Petrol,first,20.4,5,375000
2019,40000,Petrol,first,19.02,5,300000
2015,70000,Diesel,fourth,22.54,5,500000
2011,122358,Diesel,first,12.05,9,404000
2015,75000,Diesel,first,14.07,7,500000
2017,120000,Diesel,first,27.28,5,350000
2015,40000,Petrol,first,17.57,5,380000
2008,95200,Petrol,third,13.2,5,114999
2014,33033,Petrol,first,19.4,5,335000
2015,63063,Petrol,first,18.9,5,465000
2012,60000,Diesel,first,21.02,5,290000
2005,45000,Petrol,second,19.7,5,110000
2011,80000,Diesel,third,11.57,7,450000
2009,170000,Diesel,second,13.6,7,400000
2007,207890,Diesel,second,13.6,7,210000
2018,7976,Diesel,first,17.9,5,4600000
2016,35000,Petrol,first,16.8,8,220000
2017,35000,Petrol,first,18.9,5,450000
2017,35000,Petrol,first,18.9,5,450000
2013,50000,Petrol,first,16.95,5,290000
2016,20000,Petrol,first,20.4,5,520000
2011,20000,Petrol,first,16.95,5,265000
2012,50000,Petrol,second,18.6,5,330000
2012,50000,Petrol,second,18.6,5,330000
2014,120000,Diesel,first,15.96,7,509999
2014,70000,Petrol,first,17.1,5,500000
2015,50000,Petrol,first,17.19,5,525000
2019,16500,Petrol,first,21.01,5,675000
2010,70000,Petrol,first,17,5,300000
2005,99361,Petrol,second,19.7,5,90000
2017,25000,Diesel,first,26.59,5,650000
2014,70000,Petrol,second,19.1,5,409000
2015,80000,Diesel,second,24,5,395000
2010,70000,Petrol,second,,,215000
2014,70000,Petrol,second,19.1,5,400000
2012,60000,Petrol,third,18.6,5,120000
2018,10000,Petrol,first,20.3,5,645000
2006,80000,Petrol,first,16.1,4,81000
2017,30000,Diesel,first,25.6,5,1300000
2017,33000,Diesel,first,25.6,5,1250000
2013,90000,Petrol,third,16.02,7,535000
2014,80100,Diesel,second,19.01,5,555000
2014,120000,Petrol,first,17.4,5,725000
1983,10000,Diesel,third,,,300000
2016,40000,Petrol,first,25.17,5,229999
2013,160000,Diesel,second,12.99,8,800000
2017,47000,Petrol,first,20.51,5,409999
2018,25000,Diesel,first,21.38,5,1210000
2017,26000,Petrol,first,23.84,5,400000
2018,29000,Diesel,first,24,5,520000
2016,50000,Petrol,first,21.4,5,650000
2011,58000,Petrol,third,16.1,5,325000
2012,120000,Petrol,first,17.4,5,420000
2014,50000,Petrol,first,20.4,5,400000
2010,80000,Petrol,fourth,17,5,254999
2003,60000,Petrol,fourth,17.3,5,65000
2017,36000,Petrol,first,23.1,5,351000
2007,120000,Diesel,third,12.8,8,404000
2011,185000,Diesel,third,21.1,5,185000
2011,50000,Diesel,first,23.08,5,250000
2002,100000,Petrol,fourth,17.3,5,60000
2013,50000,Petrol,second,17.1,5,500000
2007,80000,Petrol,second,18.2,5,85000
2005,60000,Petrol,second,,,85000
2005,80000,Petrol,fourth,19.7,5,85000
2011,90000,Diesel,fourth,19.3,5,265000
2010,162000,Petrol,second,19,5,130000
2013,110000,Diesel,third,20.77,7,480000
2008,120000,Diesel,third,17.8,5,170000
2011,45000,Diesel,first,23.08,5,275000
2005,90000,Petrol,second,18.9,5,89000
2010,90000,Diesel,second,20,5,170000
2019,16500,Petrol,first,17,5,1090000
2017,67000,Diesel,first,17.01,5,1100000
2018,52000,Petrol,first,22,5,610000
2016,40000,Petrol,first,20.63,5,335000
2015,40000,Petrol,first,18.9,5,434999
2018,35000,Diesel,first,14.24,7,3000000
2018,13000,Petrol,first,20.71,5,390000
2012,40000,Petrol,first,18.5,5,325000
2019,10000,Petrol,first,17,5,640000
2012,9000,Petrol,first,16.95,5,450000
2013,70000,Diesel,second,23.59,5,400000
2009,60000,Petrol,first,20.36,5,215000
2014,40000,Diesel,first,20.45,5,570000
2012,93000,Diesel,first,15.1,7,680000
2008,80000,Diesel,fourth,12.8,7,325000
2011,50000,Petrol,second,15.64,5,150000
2013,68000,Petrol,first,14.5,5,690000
2013,25000,Diesel,first,14.84,5,1550000
2012,18000,Petrol,first,25.4,4,64000
2013,120000,Diesel,first,23.08,5,250000
2005,35000,Petrol,first,18.9,5,65000
2016,60000,Diesel,second,26.59,5,550000
2010,70000,Petrol,fourth,20.36,5,140000
2016,30000,Petrol,first,25.17,5,300000
2016,70000,Petrol,first,16.34,5,800000
2017,9000,Diesel,first,13.6,5,2625000
2019,20000,Petrol,first,22.37,5,5150000
2017,45000,Diesel,first,19.33,5,3200000
2015,110000,Diesel,first,14.1,7,503000
2019,20000,Diesel,first,18,5,3800000
2016,68089,Petrol,first,19.16,5,2000000
2013,58343,Petrol,first,21.79,5,225000
2018,38817,Diesel,first,27.39,5,740000
2016,56494,Petrol,first,18.2,5,550000
2013,79328,Diesel,second,12.99,7,750000
2019,5621,Petrol,first,22,5,650000
2017,25538,Petrol,first,16.78,5,625000
2018,69779,Petrol,first,22,5,600000
2017,56290,Diesel,first,24,5,450000
2019,7500,Diesel,first,16.78,5,5400000
2019,8500,Diesel,first,16.78,5,5500000
2019,7032,Petrol,first,19,5,779000
2016,11000,Petrol,first,14.3,5,645000
2018,2000,Diesel,first,16.8,5,2475000
2010,106000,Petrol,third,20.36,5,150000
2012,162000,Diesel,third,,,265000
2009,120000,Petrol,second,11.1,5,500000
2015,90000,Diesel,first,26.59,5,480000
2014,70000,Diesel,third,22.32,5,535000
2005,240000,Diesel,third,12.8,8,250000
2012,100000,Diesel,second,21.5,5,300000
2009,214000,Petrol,second,13.9,5,340000
2009,214000,Diesel,second,16.8,5,340000
2016,50000,Petrol,first,22.74,5,240000
2018,1000,Petrol,first,18,5,1085000
2017,19000,Diesel,first,28.4,5,750000
2012,265000,Diesel,second,17,5,95000
2020,35000,CNG,first,20.88,5,409999
2014,80000,Petrol,second,23.95,5,215000
2016,50000,Diesel,first,16,7,1290000
2010,80000,Petrol,first,20.92,5,150000
2013,50000,Petrol,second,21.1,5,219000
2018,100000,Petrol,first,23.84,5,325000
2013,120000,Petrol,second,15.1,5,260000
2017,9000,Diesel,first,13.6,5,2625000
2019,20000,Petrol,first,22.37,5,5150000
2017,45000,Diesel,first,19.33,5,3200000
2015,110000,Diesel,first,14.1,7,503000
2019,20000,Diesel,first,18,5,3800000
2016,68089,Petrol,first,19.16,5,2000000
2013,58343,Petrol,first,21.79,5,225000
2018,38817,Diesel,first,27.39,5,740000
2016,56494,Petrol,first,18.2,5,550000
2013,79328,Diesel,second,12.99,7,750000
2019,5621,Petrol,first,22,5,650000
2017,25538,Petrol,first,16.78,5,625000
2018,69779,Petrol,first,22,5,600000
2017,56290,Diesel,first,24,5,450000
2019,7500,Diesel,first,16.78,5,5400000
2019,8500,Diesel,first,16.78,5,5500000
2019,7032,Petrol,first,19,5,779000
2016,11000,Petrol,first,14.3,5,645000
2018,2000,Diesel,first,16.8,5,2475000
2019,40000,Diesel,first,23.8,5,700000
2017,45000,Diesel,first,21.38,5,950000
2010,80000,Petrol,second,19.7,5,160000
2015,135000,Diesel,second,24.4,5,409999
2015,120000,Diesel,second,12.99,7,840000
2013,67000,Diesel,first,23.59,5,450000
2017,50000,Diesel,first,28.4,5,900000
2008,134000,Diesel,second,12.8,7,570000
2011,110000,Diesel,second,23.08,5,254999
2009,40000,Petrol,first,16.1,4,130000
2013,120000,Diesel,second,23.4,5,530000
2015,110000,Diesel,second,20.14,5,520000
2011,170000,Diesel,second,21,5,229999
2004,80000,Petrol,second,16.1,4,81000
2016,47000,Diesel,first,25.2,5,600000
2015,93000,Petrol,first,19.1,5,409999
2010,70000,Petrol,second,16.1,4,120000
2014,50000,Petrol,first,23.1,5,320000
2015,70000,Diesel,first,20,5,292000
2012,80000,Diesel,first,13.93,7,390000
2016,44000,Petrol,first,18.16,5,550000
2014,25000,Petrol,first,23.1,5,385000
2016,25000,Petrol,first,15.29,5,800000
2019,10000,Petrol,first,21.21,5,675000
2018,50000,Diesel,first,17.6,7,1525000
2018,30000,Diesel,first,23,5,950000
2015,50000,Diesel,second,21.19,5,610000
2012,120000,Diesel,first,22.54,5,525000
2019,40000,Diesel,first,23.8,5,700000
2015,80000,Diesel,first,15.96,7,375000
2015,90000,Diesel,first,20.45,5,580000
2015,50000,Petrol,second,20.4,5,434999
2020,2136,Petrol,first,22.5,5,350000
2012,250000,Diesel,first,12.99,7,730000
2015,35000,Petrol,first,18.6,5,600000
2015,120000,Diesel,first,12.99,7,1050000
2017,70000,Diesel,first,27.39,5,735000
2018,18000,Diesel,first,19.6,5,1050000
2016,110000,Diesel,second,18.2,7,420000
2017,60000,Diesel,first,23.65,5,800000
2015,60000,Diesel,first,12.55,7,2000000
2016,147000,Diesel,second,26.59,5,600000
2015,130000,Diesel,first,12.55,7,1900000
2011,99500,Diesel,third,11.5,7,500000
2011,110000,Diesel,second,17,5,200000
2016,35000,Petrol,first,19.49,5,370000
2010,110000,Diesel,second,16.2,5,260000
2016,100000,Diesel,first,25.32,6,280000
2014,21000,Petrol,first,16.02,7,610000
2013,60000,Diesel,second,23.5,5,300000
2010,40000,Diesel,first,16.6,5,140000
2008,50000,Petrol,first,19.81,5,229999
2010,65000,Petrol,second,19,5,200000
2011,80000,Petrol,first,18.9,5,200000
2015,119000,Diesel,first,23.9,5,560000
2016,80000,Diesel,first,24.52,7,750000
2017,90000,Diesel,first,25.2,5,585000
2016,20000,Petrol,first,17.01,5,760000
2014,80000,Diesel,second,25.2,5,430000
2020,44665,Diesel,first,25.32,6,480000
2019,10000,Diesel,first,20.8,5,643000
2018,60000,Petrol,first,20.14,5,500000
2016,22000,Petrol,first,18.5,5,425000
2014,25000,Petrol,first,22.74,5,250000
2016,70000,Diesel,first,27.62,5,285000
2008,123000,Petrol,third,17.5,5,160000
2011,70000,Diesel,second,20.54,5,250000
2013,70000,Petrol,second,18.6,5,170000
2013,45000,Diesel,first,23.59,5,409999
2015,40000,Petrol,first,18.9,5,400000
2019,30000,Diesel,first,28.4,5,700000
2007,90000,Petrol,first,12.9,5,350000
2016,34000,Petrol,second,17.5,7,660000
2017,25000,Petrol,first,24.7,5,268000
2016,50000,Petrol,first,22.74,5,270000
2013,50000,Diesel,first,25.44,5,300000
2017,90000,Petrol,first,23.84,5,450000
2012,70000,Diesel,second,25.44,5,220000
2009,146000,Diesel,second,13.93,7,250000
2012,85000,Petrol,second,15.6,5,300000
